                    SOFT STORY PROPERTIES LIST (Updated Every Wednesday),,,,,,,,,,,
BLOCK,LOT,PROPERTY,NOTICE,SCREENING FORM,,OPT. EVALUATION,,IN / OUT,TIER,,
0045,010B,777 BAY ST,X,10/29/13,10/29/13,,,IN,3,Screening Form Accepted,
0048,016,970 CHESTNUT ST,X,05/29/14,05/29/14,,,IN,3,Screening Form Accepted,
0050,001A,1050 COLUMBUS AV,X,11/26/13,11/26/13,,,IN,3,"Work Complete, CFC Issued",
0050,007,780 CHESTNUT ST,X,04/23/14,04/25/14,,,OUT,,Not Subject to the Program,
0050,016A,2436 JONES ST,X,04/16/14,04/16/14,,,IN,3,Permit Issued,
0050,006A,31 HOUSTON ST,X,09/12/14,09/12/14,,,IN,3,Screening Form Accepted,
0050,009,2412 JONES ST,X,08/27/14,08/27/14,,,IN,4,Screening Form Accepted,
0051,008A,81 WATER ST,X,04/02/14,04/02/14,,,IN,4,Screening Form Accepted,
0051,008,2332 TAYLOR ST,X,06/03/14,06/03/14,,,IN,4,Screening Form Accepted,
0051,018,581 FRANCISCO ST,X,08/29/14,08/29/14,08/29/14,09/02/15,OUT,,Screening Form and Optional Evaluation Form Approved,
0052,022,2252 MASON ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
0052,021,2244 MASON ST,X,09/04/14,09/04/14,09/04/14,09/15/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0053,005,434 CHESTNUT ST,X,06/16/14,06/16/14,,,IN,3,"Work Complete, CFC Issued",
0053,003,2001 STOCKTON ST,X,07/28/14,07/28/14,,,IN,4,Permit Issued,
0053,002B,2025 STOCKTON ST,X,02/06/14,02/06/14,,,IN,3,Work Complete,
0053,002A,2015 STOCKTON ST,X,03/18/14,03/18/14,,,IN,4,Permit Issued,
0054,029,170 PFEIFFER ST,X,04/17/14,04/17/14,,,OUT,,Not Subject to the Program,
0054,016D,380 CHESTNUT ST, ,08/15/14,08/19/14,,,OUT, ,Not Subject to the Program,
0054,039,251 FRANCISCO ST,X,02/24/14,03/07/14,,,OUT,,Not Subject to the Program,
0054,045,123 PFEIFFER ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
0054,017A,175 PFEIFFER ST,X,07/28/14,07/28/14,,,IN,3,Screening Form Accepted,
0054,029A,275 FRANCISCO ST,X,07/29/14,07/29/14,,,IN,4,Screening Form Accepted,
0054,040,241 FRANCISCO ST,X,05/27/14,05/27/14,,,IN,3,Screening Form Accepted,
0059,167,156 LOMBARD ST,X,,,,,OUT,,Not Subject to the Program,
0059,139,154 LOMBARD ST,X,,,,,OUT,,Not Subject to the Program,
0060,016,199 CHESTNUT ST,X,05/05/14,05/05/14,,,IN,3,Screening Form Accepted,
0061,012,1820 GRANT AV,X,02/18/14,02/18/14,,,IN,3,"Work Complete, CFC Issued",
0061,021,289 CHESTNUT ST,X,09/12/14,09/12/14,,,IN,3,Permit Filed,
0061,041,1725 KEARNY ST,X,01/12/15,01/12/15,,,IN,3,Screening Form Accepted,
0062,005,1831 GRANT AV,X,04/25/14,04/25/14,,,IN,3,"Work Complete, CFC Issued",
0062,023,367 CHESTNUT ST,X,09/05/14,09/05/14,,,IN,3,"Work Complete, CFC Issued",
0062,014,444 LOMBARD ST,X,10/16/13,10/16/13,,,IN,3,"Work Complete, CFC Issued",
0062,043,1821 GRANT AV,X,08/07/14,08/07/14,,,IN,3,Permit Issued,
0062,028,321 CHESTNUT ST,X,05/06/14,05/06/14,,,OUT,,Not Subject to the Program,
0062,013,434 LOMBARD ST,X,08/04/14,08/04/14,,,IN,3,Screening Form Accepted,
0062,032,454 LOMBARD ST,X,06/04/14,06/04/14,,,IN,3,Screening Form Accepted,
0062,017B,490 LOMBARD ST,X,07/30/14,07/30/14,,,IN,3,Screening Form Accepted,
0062,026,333 CHESTNUT ST,X,05/28/14,06/09/14,05/28/14,06/09/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0063,005,1929 STOCKTON ST,X,02/25/14,02/25/14,,,IN,3,Permit Filed,
0063,024,475 CHESTNUT ST,X,11/05/14,12/23/14,,,OUT,,Not Subject to the Program,
0063,028,427 CHESTNUT ST,X,07/11/14,12/12/14,,,OUT,,Not Subject to the Program,
0063,023,2050 POWELL ST,X,02/11/14,02/11/14,,,IN,4,Screening Form Accepted,
0063,017,566 LOMBARD ST,X,08/21/14,08/21/14,,,IN,3,Screening Form Accepted,
0064,017,2100 MASON ST,X,03/11/14,03/11/14,,,IN,3,Permit Issued,
0064,006,2027 POWELL ST,X,07/10/14,07/10/14,,,IN,3,"Work Complete, CFC Issued",
0064,002,2055 POWELL ST,X,06/09/14,06/09/14,,,IN,3,Permit Issued,
0064,028,549 CHESTNUT ST,X,08/08/14,08/26/15,,,OUT,,Not Subject to the Program,
0064,015,670 LOMBARD ST,X,08/29/14,08/29/14,,,IN,4,Screening Form Accepted,
0064,011,640 LOMBARD ST,X,07/21/14,07/21/14,,,IN,4,Screening Form Accepted,
0065,025,700 LOMBARD ST,X,07/31/14,07/31/14,,,IN,2,Permit Issued,
0065,015,790 LOMBARD ST,X,07/20/14,07/25/14,,,OUT,,Not Subject to the Program,
0065,015A,2210 TAYLOR ST,X,06/23/14,06/23/14,,,IN,4,Screening Form Accepted,
0065,002,2153 MASON ST,X,01/08/14,01/08/14,,,IN,4,Screening Form Accepted,
0065,010,724 LOMBARD ST,X,05/27/14,05/27/14,05/27/14,06/16/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0066,012,2318 JONES ST,X,09/08/14,09/08/14,,,IN,3,Permit Issued,
0066,007,860 LOMBARD ST,X,07/02/14,07/02/14,,,IN,3,Screening Form Accepted,
0066,003,2205 TAYLOR ST,X,04/14/14,04/14/14,,,IN,4,Screening Form Accepted,
0067,001,801 CHESTNUT ST,X,07/21/14,08/27/15,,,IN,3,   Subject to the Program,
0069,012,2632 LARKIN ST,X,06/23/14,06/23/14,,,IN,3,Screening Form Accepted,
0071,005,2223 LEAVENWORTH ST,,09/02/14,09/02/14,,,IN,3,Permit Issued,
0071,010,2200 HYDE ST,X,08/29/14,08/29/14,,,IN,3,Screening Form Accepted,
0071,033,1025 LOMBARD ST,X,09/10/14,09/10/14,,,IN,3,Screening Form Accepted,
0072,008,2200 LEAVENWORTH ST,X,10/22/13,11/01/13,,,OUT,,Not Subject to the Program,
0072,008B,2230 LEAVENWORTH ST,X,07/28/14,07/28/14,,,IN,3,Screening Form Accepted,
0072,023,1040 GREENWICH ST,X,04/30/14,03/10/16,,,OUT,,Not Subject to the Program,
0073,018,857 LOMBARD ST,X,03/13/14,03/13/14,,,IN,3,Permit Issued,
0073,003,2127 TAYLOR ST,X,07/29/14,07/29/14,,,IN,3,Permit Issued,
0073,022,819 LOMBARD ST,X,07/21/14,07/21/14,,,IN,3,Permit Issued,
0073,006,942 GREENWICH ST,X,11/25/13,11/25/13,,,IN,3,Screening Form Accepted,
0073,009A,962 GREENWICH ST,X,09/11/14,09/11/14,,,IN,3,Screening Form Accepted,
0074,009B,888 GREENWICH ST,X,03/26/14,03/26/14,,,IN,4,"Work Complete, CFC Issued",
0074,009C,864 GREENWICH ST,X,07/28/14,07/28/14,,,IN,3,Permit Issued,
0074,009A,876 GREENWICH ST,X,06/30/14,08/13/15,,,OUT,,Not Subject to the Program,
0074,009,860 GREENWICH ST,X,07/14/14,07/14/14,,,IN,3,Screening Form Accepted,
0074,043,2150 TAYLOR ST,X,03/27/14,03/27/14,,,IN,3,Screening Form Accepted,
0074,038,816 GREENWICH ST,X,12/15/14,12/15/14,,,IN,3,Screening Form Accepted,
0074,045,2160 TAYLOR ST,X,07/17/14,07/17/14,,,IN,4,Screening Form Accepted,
0074,039,824 GREENWICH ST,X,09/11/14,09/11/14,,,IN,4,Screening Form Accepted,
0074,005,840 GREENWICH ST,X,07/25/14,07/25/14,,,IN,4,Screening Form Accepted,
0074,003A,810 GREENWICH ST,X,05/23/14,05/23/14,,,IN,4,Screening Form Accepted,
0076,015,666 GREENWICH ST,X,08/29/14,08/29/14,,,IN,3,"Work Complete, CFC Issued",
0076,026,567 LOMBARD ST,X,09/12/14,10/02/14,,,OUT,,Not Subject to the Program,
0076,006,1815 STOCKTON ST,X,09/03/14,09/03/14,,,IN,3,Screening Form Accepted,
0076,001A,1869 STOCKTON ST,X,04/23/14,04/23/14,,,IN,3,Screening Form Accepted,
0076,017,1906 POWELL ST,X,02/24/14,02/24/14,,,IN,4,Screening Form Accepted,
0076,027A,559 LOMBARD ST,X,08/27/14,08/27/14,,,IN,3,Screening Form Accepted,
0076,003,1847 STOCKTON ST,X,08/21/14,08/21/14,,,IN,3,Screening Form Accepted,
0076,025A,1956 POWELL ST,X,05/23/14,06/17/14,05/23/14,06/17/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0077,005,40 EDITH ST,X,09/30/13,09/30/13,,,IN,3,Work Complete,
0077,038,433 LOMBARD ST,X,07/17/14,07/29/14,,,OUT,,Not Subject to the Program,
0077,040,10 EDGARDO PL,X,11/06/13,11/08/13,,,OUT,,Not Subject to the Program,
0077,002,12 EDITH ST,X,05/05/14,05/05/14,,,OUT,,Not Subject to the Program,
0077,021,568 GREENWICH ST,X,10/24/14,10/30/14,,,OUT,,Not Subject to the Program,
0077,011,500 GREENWICH ST,X,06/24/14,06/24/14,,,IN,3,Screening Form Accepted,
0077,030,1848 STOCKTON ST,X,03/06/14,03/06/14,,,IN,3,Screening Form Accepted,
0078,055,241 TELEGRAPH HILL BL,X,06/13/14,06/13/14,,,IN,3,"Work Complete, CFC Issued",
0078,083,201 TELEGRAPH HILL BL,X,09/09/14,09/15/14,,,OUT,,Not Subject to the Program,
0078,001C,275 TELEGRAPH HILL BL,X,01/27/14,02/07/14,,,OUT,,Not Subject to the Program,
0078,008,444 GREENWICH ST,X,08/11/14,06/11/15,,,OUT,,Not Subject to the Program,
0078,063,373 LOMBARD ST,X,06/04/14,08/11/14,,,OUT,,Not Subject to the Program,
0078,001,285 TELEGRAPH HILL BL,X,11/20/13,07/21/14,,,OUT,,Not Subject to the Program,
0078,052,480 GREENWICH ST,X,05/02/14,05/02/14,,,IN,3,Screening Form Accepted,
0085,040,1440 MONTGOMERY ST,X,03/06/14,03/06/14,,,IN,3,Screening Form Accepted,
0086,051,333 GREENWICH ST,X,12/02/13,12/02/13,,,IN,3,Screening Form Accepted,
0086,023,303 GREENWICH ST,X,07/31/14,07/31/14,,,IN,3,Screening Form Accepted,
0086,001C,1441 MONTGOMERY ST,X,08/26/14,08/26/14,,,IN,3,Screening Form Accepted,
0087,018,459 GREENWICH ST,X,01/24/14,01/24/14,,,IN,3,"Work Complete, CFC Issued",
0087,029,439 GREENWICH ST,X,12/17/13,12/19/13,,,OUT,,Not Subject to the Program,
0087,025,409 GREENWICH ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
0087,015,24 GERKE AL,X,09/11/14,09/11/14,,,IN,3,Screening Form Accepted,
0087,047,485 GREENWICH ST,X,09/03/14,09/03/14,,,IN,4,Screening Form Accepted,
0087,023,425 GREENWICH ST,X,05/02/14,05/02/14,,,IN,3,Screening Form Accepted,
0088,025,561 GREENWICH ST,X,12/09/13,12/09/13,,,IN,3,Permit Filed,
0088,041,19 MEDAU PL,X,09/05/14,03/31/15,,,OUT,,Not Subject to the Program,
0088,006,1601 GRANT AV,X,11/22/13,11/22/13,,,IN,2,Screening Form Accepted,
0088,009,540 FILBERT ST,X,07/01/14,07/01/14,,,IN,3,Screening Form Accepted,
0088,011,558 FILBERT ST,X,07/29/14,07/29/14,,,IN,3,Permit Issued,
0088,001,1653 GRANT AV,X,03/03/14,03/03/14,,,IN,4,Screening Form Accepted,
0088,031,519 GREENWICH ST,X,09/10/14,09/10/14,,,IN,3,Screening Form Accepted,
0089,001,1763 STOCKTON ST,X,08/11/14,08/11/14,,,IN,4,Work Complete,
0089,008,1723 STOCKTON ST,X,02/26/14,08/11/14,,,OUT,,Not Subject to the Program,
0089,031,1856 POWELL ST,X,09/14/14,10/16/14,,,OUT,,Not Subject to the Program,
0089,010,1713 STOCKTON ST,X,05/05/14,05/05/14,,,IN,4,Screening Form Accepted,
0090,028,750 COLUMBUS AV,X,11/15/13,11/15/13,,,IN,4,Permit Filed,
0090,004,1841 POWELL ST,X,08/27/14,08/27/14,,,IN,4,Permit Issued,
0090,014,770 FILBERT ST,X,10/06/14,10/16/14,,,OUT,,Not Subject to the Program,
0090,008,1811 POWELL ST,X,10/09/14,10/09/14,,,IN,4,Screening Form Accepted,
0090,007,1823 POWELL ST,X,09/03/14,09/03/14,,,IN,4,Screening Form Accepted,
0090,033,1952 MASON ST,X,09/14/14,09/14/14,,,IN,4,Screening Form Accepted,
0090,039,1926 MASON ST,X,07/08/14,07/08/14,,,IN,3,Screening Form Accepted,
0090,013,750 FILBERT ST,X,05/23/14,05/23/14,,,IN,4,Screening Form Accepted,
0091,015,852 FILBERT ST,X,07/07/14,07/07/14,,,IN,3,Screening Form Accepted,
0091,049,851 GREENWICH ST,X,08/29/14,08/29/14,,,IN,3,Screening Form Accepted,
0091,027,55 VALPARAISO ST.,X,07/01/14,07/01/14,,,IN,3,Screening Form Accepted,
0091,022,2016 TAYLOR ST,X,08/07/14,08/07/14,,,IN,3,Screening Form Accepted,
0091,006,1901 MASON ST,X,07/01/14,07/01/14,,,IN,3,Screening Form Accepted,
0091,042,2050 TAYLOR ST,X,08/06/14,09/02/14,08/06/14,09/02/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0092,027,2138 JONES ST,X,10/24/14,10/24/14,,,OUT,,Not Subject to the Program,
0092,001,901 GREENWICH ST,X,08/08/14,08/08/14,,,IN,3,Screening Form Accepted,
0092,023,126 VALPARAISO ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
0092,017,2100 JONES ST,X,07/23/14,07/23/14,,,IN,4,Screening Form Accepted,
0093,007,2119 JONES ST,X,01/24/14,01/24/14,,,IN,3,Permit Issued,
0093,030,2130 LEAVENWORTH ST,X,09/15/14,08/27/15,,,IN,2,   Subject to the Program,
0093,049,1085 GREENWICH ST,X,07/10/14,07/14/14,,,OUT,,Not Subject to the Program,
0093,058,1034 FILBERT ST,X,09/22/14,10/16/14,,,OUT,,Not Subject to the Program,
0093,025,1021 GREENWICH ST,X,07/15/14,07/15/14,,,IN,3,Screening Form Accepted,
0094,014,1180 FILBERT ST,X,03/04/14,03/07/14,,,OUT,,Not Subject to the Program,
0094,017,2124 HYDE ST,X,05/08/14,05/08/14,,,IN,3,Screening Form Accepted,
0094C,101,1101 GREENWICH ST,X,09/12/14,09/12/14,,,IN,3,Screening Form Accepted,
0095,028,1221 GREENWICH ST,X,02/03/14,02/03/14,,,IN,3,Permit Filed,
0095,023,2460 LARKIN ST,X,03/05/14,03/18/14,,,OUT,,Not Subject to the Program,
0095,031,2115 HYDE ST,X,09/04/14,09/04/14,,,IN,3,Screening Form Accepted,
0096,004,2037 HYDE ST,X,02/21/14,02/21/14,,,IN,3,"Work Complete, CFC Issued",
0096,046,1245 FILBERT ST,X,04/18/14,04/18/14,,,IN,3,"Work Complete, CFC Issued",
0096,025,1262 UNION ST,X,08/06/14,08/06/14,,,IN,3,Permit Filed,
0096,048,1215 FILBERT ST,X,08/16/14,12/23/14,,,OUT,,Not Subject to the Program,
0096,043,1267 FILBERT ST,X,04/30/14,04/30/14,,,IN,3,Screening Form Accepted,
0096,005,2027 HYDE ST,X,09/11/14,09/11/14,,,IN,3,Screening Form Accepted,
0097,050,2033 LEAVENWORTH ST,X,06/18/14,06/18/14,,,IN,3,Permit Issued,
0097,010,1120 UNION ST,X,09/04/14,09/04/14,,,IN,3,Screening Form Accepted,
0097,061,1171 FILBERT ST,X,04/16/14,04/16/14,,,IN,3,Screening Form Accepted,
0097,018,1178 UNION ST,X,07/31/14,07/31/14,,,IN,3,Screening Form Accepted,
0097,028,2054 HYDE ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
0097,039,1147 FILBERT ST,X,09/09/14,09/09/14,,,IN,3,Screening Form Accepted,
0098,002,1000 UNION ST,X,07/28/14,07/28/14,,,IN,2,Permit Issued,
0098,016,1061 FILBERT ST,X,08/20/14,09/10/14,,,OUT,,Not Subject to the Program,
0098,013A,2060 LEAVENWORTH ST,X,06/11/14,06/17/14,,,OUT,,Not Subject to the Program,
0098,005,1048 UNION ST,X,02/03/14,02/03/14,,,IN,2,Screening Form Accepted,
0098,006,1074 UNION ST,X,09/14/14,09/14/14,,,IN,3,Screening Form Accepted,
0098C,001,1020 UNION ST,X,07/28/14,07/28/14,,,IN,4,Screening Form Accepted,
0099,019,949 FILBERT ST,X,06/24/14,06/24/14,,,IN,3,Permit Issued,
0099,005,940 UNION ST,X,07/23/14,07/23/14,,,IN,3,"Work Complete, CFC Issued",
0099,028,990A UNION ST,X,10/02/14,10/02/14,,,IN,3,Permit Issued,
0099,034,968 UNION ST,X,01/15/16,01/28/16,,,OUT,,Not Subject to the Program,
0099,011,2022 JONES ST,X,08/15/14,08/15/14,,,IN,3,Screening Form Accepted,
0099,009,988 UNION ST,X,08/15/14,08/15/14,,,IN,3,Screening Form Accepted,
0100,022,892 UNION ST,X,08/07/14,08/07/14,,,IN,3,"Work Complete, CFC Issued",
0100,045,865 FILBERT ST,X,06/12/14,06/17/14,,,OUT,,Not Subject to the Program,
0100,028,1950 TAYLOR ST,X,07/15/14,07/15/14,,,IN,3,Screening Form Accepted,
0100,001,1857 MASON ST,X,09/03/14,09/03/14,,,IN,4,Screening Form Accepted,
0100,030,881 FILBERT ST,X,09/02/14,09/02/14,,,IN,3,Permit Issued,
0101,034,741 FILBERT ST,X,08/07/14,08/12/15,,,OUT,,Not Subject to the Program,
0101,008,744 UNION ST,X,04/09/14,04/17/14,,,OUT,,Not Subject to the Program,
0101,012,766 UNION ST,X,12/16/13,12/16/13,,,IN,3,Screening Form Accepted,
0103,024,149 JASPER PL,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
0103,029,114 JASPER PL,X,03/13/14,03/13/14,,,IN,3,Screening Form Accepted,
0103,039,1539 GRANT AV,X,09/22/14,09/22/14,,,IN,4,Screening Form Accepted,
0103,035,525 FILBERT ST,X,06/20/14,06/20/14,,,IN,3,Screening Form Accepted,
0103,004,1525 GRANT AV,X,08/07/14,08/07/14,,,IN,4,Screening Form Accepted,
0103,013,570 UNION ST,X,09/11/14,09/11/14,12/19/14,12/19/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0104,056,417 FILBERT ST,X,11/04/13,11/04/13,,,IN,3,Work Complete,
0104,037,28 HARWOOD AL,X,04/28/14,04/28/14,,,IN,3,"Work Complete, CFC Issued",
0104,044,139 VARENNES ST,X,04/22/14,04/22/14,,,IN,3,"Work Complete, CFC Issued",
0104,015,100 VARENNES ST,X,12/18/13,12/18/13,,,IN,3,Permit Issued,
0104,008,1413 KEARNY ST,X,06/24/14,06/24/14,,,IN,3,Permit Issued,
0104,069,55 GENOA PL,X,08/22/14,08/28/14,,,OUT,,Not Subject to the Program,
0104,022,478 UNION ST,X,05/16/14,05/16/14,,,OUT,,Not Subject to the Program,
0104,007,1425 KEARNY ST,X,07/14/14,07/14/14,,,IN,3,Screening Form Accepted,
0104,001,1459 KEARNY ST,X,03/10/14,03/10/14,,,IN,3,Screening Form Accepted,
0104,046,121 VARENNES ST,X,09/15/14,09/15/14,02/25/15,03/10/15,OUT,,Screening Form and Optional Evaluation Form Approved,
0105,019,350 UNION ST,X,09/12/14,10/16/14,,,OUT,,Not Subject to the Program,
0105,051,100 ALTA ST,X,03/27/14,03/27/14,,,IN,3,Screening Form Accepted,
0106,038,218 UNION ST,X,01/23/14,01/23/14,,,IN,3,Permit Filed,
0106,017C,1306 MONTGOMERY ST,X,06/22/14,07/14/14,,,OUT, ,Not Subject to the Program,
0106,046,1360 MONTGOMERY ST,X,08/26/14,08/28/14,,,OUT,,Not Subject to the Program,
0106,034D,40 ALTA ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
0106,034,50 ALTA ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
0106,036,80 ALTA ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
0106,016A,296 UNION ST,X,09/12/14,09/12/14,03/16/15,03/31/15,OUT,,Screening Form and Optional Evaluation Form Approved,
0113,046,1228 MONTGOMERY ST,X,11/12/13,11/12/13,,,IN,3,"Work Complete, CFC Issued",
0113,016A,290 GREEN ST,X,07/17/14,07/17/14,,,IN,2,Permit Issued,
0113,015,280 GREEN ST,X,09/03/14,09/03/14,,,IN,3,Screening Form Accepted,
0114,011,1207 MONTGOMERY ST,X,08/15/14,08/15/14,,,IN,3,"Work Complete, CFC Issued",
0114,001,301 UNION ST,X,07/28/14,07/28/14,,,IN,4,Permit Issued,
0114,031,1360 KEARNY ST,X,10/16/13,10/16/13,,,IN,3,Permit Issued,
0114,022,3 WINDSOR PL,X,05/05/14,05/05/14,,,IN,3,Screening Form Accepted,
0114,019,360 GREEN ST,X,08/28/14,08/28/14,,,IN,3,Screening Form Accepted,
0114,032,387 UNION ST,X,06/18/14,06/18/14,,,IN,3,Screening Form Accepted,
0114,028C,1340 KEARNY ST,,07/23/14,07/23/14,,,IN,3,Screening Form Accepted,
0114,026,1312 KEARNY ST,X,08/19/14,08/19/14,,,IN,3,Screening Form Accepted,
0115,022,471 UNION ST,X,03/10/14,03/10/14,,,IN,3,Permit Issued,
0115,055,401 UNION ST,X,04/07/14,04/07/14,,,IN,3,"Work Complete, CFC Issued",
0115,004,1339 KEARNY ST,X,07/23/14,05/28/15,,,OUT,,Not Subject to the Program,
0115,054,423 UNION ST,X,01/14/14,01/14/14,,,IN,4,Screening Form Accepted,
0115,011,412 GREEN ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
0115,024,453 UNION ST,X,06/12/14,06/12/14,,,IN,4,Screening Form Accepted,
0115,019,1400 GRANT AV,X,09/19/14,09/19/14,,,IN,2,Screening Form Accepted,
0115,020,1434 GRANT AV,X,08/24/14,08/24/14,,,IN,4,Screening Form Accepted,
0115,052,421 UNION ST,X,08/11/14,08/11/14,,,IN,3,Screening Form Accepted,
0115,012,2 SONOMA ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
0116,016,538 GREEN ST,X,06/26/14,06/26/14,,,IN,3,Permit Issued,
0116,040,24 JASPER PL,X,04/29/14,04/29/14,,,IN,3,Permit Issued,
0116,030,567 UNION ST,X,11/04/15,11/05/15,,,OUT,,Not Subject to the Program,
0116,001,1499 GRANT AV,X,06/18/14,06/18/14,,,IN,4,Screening Form Accepted,
0117,007,644 GREEN ST,X,01/14/14,01/14/14,,,IN,3,Permit Issued,
0117,016,1636 POWELL ST,X,07/23/14,08/07/14,,,OUT,,Not Subject to the Program,
0117,017,575 COLUMBUS AV,X,07/18/14,07/18/14,,,IN,4,Screening Form Accepted,
0117,001,601 UNION ST,X,12/16/13,12/16/13,,,IN,4,Screening Form Accepted,
0117,013,1614 POWELL ST,X,07/30/14,07/30/14,,,IN,4,Screening Form Accepted,
0117,005,501 COLUMBUS AV,X,09/10/14,09/10/14,,,IN,2,Screening Form Accepted,
0118,028,1734 MASON ST,X,07/25/14,08/21/14,,,OUT,,Not Subject to the Program,
0118,018,9 AUGUST AL,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
0118,040,755 UNION ST,X,08/17/14,08/17/14,,,IN,3,Screening Form Accepted,
0118,001,701 UNION ST,X,07/18/14,07/18/14,,,IN,4,Screening Form Accepted,
0118,007,1615 POWELL ST,X,09/09/14,09/09/14,,,IN,3,Screening Form Accepted,
0119,001,1753 MASON ST,X,01/31/14,01/31/14,,,IN,4,Screening Form Accepted,
0119,007,1717 MASON ST,X,03/25/14,03/25/14,,,IN,3,Screening Form Accepted,
0119,009,802 GREEN ST,,06/25/15,06/25/15,,,IN,3,Screening Form Accepted,
0119,024,890 GREEN ST,X,10/31/14,10/31/14,,,IN,3,Screening Form Accepted,
0120,013,66 MACONDRAY LN,X,09/12/14,09/22/14,,,OUT,,Not Subject to the Program,
0120,032,44 MACONDRAY LN,X,07/15/14,08/14/14,,,OUT,,Not Subject to the Program,
